                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7637,                 4.8549,                 3.9049,                 2.7038,                0.00718,                0.27878,                0.01673,                0.00539,                0.00028,                0.01667,                0.00118,                0.00012,                 3.0611,                 6.1507,                 3.8594,                 2.8423,                 0.0955,                 0.0005,                 0.0005
                      1,                 2.8023,                 4.4729,                 3.8343,                 2.7205,                0.01038,                0.55406,                0.06963,                0.02575,                 0.0031,                0.12262,                0.04103,                0.00815,                 2.7265,                 5.3623,                  3.714,                 2.6637,               0.090096,              0.0010962,              0.0010962
                      2,                 2.6189,                 4.1625,                 3.7837,                 2.5867,                 0.0122,                0.44032,                0.12465,                0.06031,                0.00374,                0.13544,                0.07322,                 0.0214,                 2.7718,                 5.3288,                 3.7233,                 2.7181,               0.084688,              0.0016884,              0.0016884
                      3,                 2.5338,                  3.874,                 3.6921,                 2.5488,                0.01022,                0.54155,                0.10855,                0.05187,                0.00334,                0.11878,                 0.0493,                 0.0157,                  2.827,                 5.0443,                 3.6568,                  2.728,               0.079276,              0.0022764,              0.0022764
                      4,                 2.4458,                  3.573,                  3.656,                 2.4642,                0.01032,                0.57406,                 0.0899,                0.03794,                0.00431,                0.16342,                0.03416,                0.00911,                 2.8423,                 4.9592,                 3.6385,                 2.7293,                0.07386,              0.0028604,              0.0028604
                      5,                 2.3588,                 3.4598,                 3.5818,                 2.3835,                0.01113,                0.56952,                0.09885,                0.03792,                0.00415,                0.14675,                0.03355,                 0.0112,                 2.7561,                 4.8342,                 3.5552,                 2.6579,                0.06844,              0.0034403,              0.0034403
                      6,                  2.189,                   3.34,                 3.5111,                 2.2808,                0.01168,                0.58619,                0.11363,                 0.0453,                0.00526,                 0.1929,                0.04466,                  0.013,                 2.6787,                 4.8823,                 3.4532,                 2.5846,               0.063016,               0.004016,               0.004016
                      7,                 2.1595,                   3.18,                 3.4127,                 2.2505,                0.75815,                 0.1179,                0.14349,                0.05895,                0.74809,                0.10275,                0.09461,                0.02356,                 2.5076,                 4.6729,                 3.3404,                 2.4471,               0.057588,              0.0045877,              0.0045877
                      8,                 2.0811,                 2.9501,                 3.3015,                 2.2015,                0.78205,                0.13927,                0.14529,                0.05755,                0.74878,                0.09697,                0.10702,                0.02981,                  2.352,                 4.4699,                 3.2293,                 2.3001,               0.052155,              0.0051553,              0.0051553
                      9,                 1.9318,                 2.9061,                 3.1011,                 2.1262,                0.80816,                0.12727,                0.19974,                0.07791,                0.78142,                0.12554,                0.13422,                0.04255,                 2.2709,                 4.1688,                 3.1279,                 2.2297,               0.046719,              0.0057187,              0.0057187
                     10,                 1.8619,                 2.8452,                 2.9486,                 2.1042,                0.80662,                0.14687,                0.23375,                0.08897,                0.78455,                0.14394,                0.16214,                0.05283,                 2.1998,                 3.8913,                 3.0261,                  2.193,               0.041278,              0.0062781,              0.0062781
                     11,                 1.7824,                 2.6289,                 2.9096,                 2.0054,                 0.6889,                0.19866,                0.21822,                0.09883,                0.78135,                0.14394,                0.12597,                0.05501,                 2.1246,                 3.8453,                 3.0039,                 2.1576,               0.035833,              0.0068334,              0.0068334
                     12,                 1.6746,                 2.5915,                 2.7178,                 1.9471,                0.51601,                0.30393,                 0.2813,                0.13032,                0.49836,                 0.2403,                0.14679,                0.06039,                 2.0588,                 3.9113,                 2.9891,                 2.0926,               0.030385,              0.0073846,              0.0073846
                     13,                 1.6428,                 2.4123,                 2.6813,                 1.9292,                0.44144,                0.28988,                0.26434,                0.13272,                0.40555,                0.24098,                0.18351,                0.08438,                 1.9798,                  3.858,                 2.7535,                 2.0268,               0.024932,              0.0079317,              0.0079317
                     14,                 1.6389,                 2.3687,                 2.5949,                 1.9241,                0.42021,                0.30823,                0.24022,                0.12763,                0.59112,                0.19278,                0.17034,                0.09179,                 2.0711,                  3.888,                 2.7508,                 2.0578,               0.019475,              0.0084746,              0.0084746
                     15,                 1.5253,                 2.3702,                 2.5324,                 1.8286,                0.55324,                0.25706,                0.36396,                0.15457,                0.70714,                0.18453,                0.19592,                0.09956,                 1.9109,                 3.7189,                 2.4631,                 1.9056,               0.014014,              0.0090135,              0.0090135
                     16,                 1.5118,                 2.2832,                 2.4545,                 1.8332,                 0.4373,                 0.2125,                0.27061,                0.13361,                0.56623,                0.17281,                0.19943,                0.10426,                 1.9544,                  3.957,                 2.5804,                 1.9476,              0.0094538,              0.0094538,              0.0094538
                     17,                 1.4906,                 2.1875,                 2.4059,                 1.8508,                0.37615,                0.45869,                0.42775,                0.17947,                0.52806,                0.18897,                0.22237,                0.12077,                 1.8357,                 3.6645,                 2.5512,                 1.8371,              0.0094538,              0.0094538,              0.0094538
                     18,                 1.3655,                 2.1578,                 2.1933,                 1.6921,                0.47025,                0.39958,                0.44856,                 0.2381,                 0.3255,                0.22571,                0.22531,                0.12004,                 1.8095,                 3.7971,                  2.497,                 1.8061,              0.0094197,              0.0094197,              0.0094197
                     19,                  1.364,                 2.0768,                 2.1766,                 1.6355,                 0.7279,                 0.3317,                0.50291,                0.27536,                0.35405,                0.26428,                0.27008,                0.14665,                 1.9196,                 4.1151,                 2.3427,                 1.8576,              0.0093855,              0.0093855,              0.0093855
                     20,                  1.297,                 1.9707,                 2.0783,                 1.6251,                0.71332,                0.34371,                0.51135,                0.23937,                0.52994,                0.26595,                0.30578,                0.15765,                 1.8594,                 4.0133,                 2.3105,                 1.8361,              0.0093514,              0.0093514,              0.0093514
                     21,                 1.2624,                 1.9458,                 2.0137,                 1.5844,                0.43188,                0.47344,                0.38587,                0.23935,                0.44743,                0.32415,                0.32587,                0.14215,                 1.6998,                 4.0291,                  2.299,                 1.7434,              0.0093172,              0.0093172,              0.0093172
                     22,                 1.1963,                 1.8531,                 1.8891,                 1.5567,                0.49773,                0.48847,                0.39794,                0.24356,                0.41959,                0.36312,                0.31201,                0.14935,                 1.7433,                 3.9545,                 2.2917,                 1.7687,              0.0092831,              0.0092831,              0.0092831
                     23,                 1.2176,                 1.8562,                 1.9497,                 1.5284,                0.52559,                  0.436,                0.45997,                0.32029,                0.44832,                0.29125,                0.27028,                0.13586,                 1.6857,                   3.93,                 2.2951,                 1.7197,               0.009249,               0.009249,               0.009249
                     24,                 1.0875,                 1.7223,                 1.7567,                 1.4408,                0.66963,                0.40797,                0.46196,                0.33933,                0.41206,                0.26644,                0.26326,                0.13752,                 1.6448,                  3.705,                 2.2747,                 1.7007,              0.0092148,              0.0092148,              0.0092148
